TileId,FspId,MinDtf,MaxDtf
6,403,0.01,12.26474
6,404,0.01,13.835175
6,405,0.01,1.1904602
6,406,0.01,8.861694
6,407,0.01,6.1957703
6,408,0.01,14.31781
6,409,0.01,12.079132
6,410,0.01,10.385132
6,411,0.01,14.0433655
6,412,0.01,11.903442
6,413,0.01,9.756348
6,414,0.01,13.36792
6,415,0.01,5.7070923
6,416,0.01,3.994629
6,417,0.01,14.7439575
6,418,0.01,12.9158325
6,419,0.01,4.5509644
6,420,0.01,13.890961
6,421,0.01,11.649963
6,422,0.01,14.529144
6,423,0.01,14.231476
6,424,0.01,11.530548
6,425,0.01,9.260468
6,426,0.01,4.876007
6,427,0.01,14.968933
6,428,0.01,5.0885925
6,429,0.01,4.999115
6,430,0.01,10.252197
6,431,0.01,3.1053772
6,432,0.01,14.874603
6,433,0.01,3.0069885
6,434,0.01,2.938385
6,435,0.01,9.2282715
6,436,0.01,14.785645
6,437,0.01,3.8327332
6,438,0.01,2.9598389
6,439,0.01,0.01
6,440,0.01,2.7936707
6,441,0.01,14.97583
6,442,0.01,2.1319275
6,443,0.01,4.997711
6,444,0.01,14.757446
6,445,0.01,5.9328003
6,446,0.01,2.4919128
6,447,0.01,1.7843018
6,448,0.01,4.7604065
6,449,0.01,9.123657
6,450,0.01,4.743286
6,451,0.01,14.397705
6,452,0.01,4.9489746
6,453,0.01,8.776306
6,454,0.01,4.650696
6,455,0.01,11.548889
6,456,0.01,12.514557
6,457,0.01,4.536377
6,458,0.01,14.0251465
6,459,0.01,14.899384
6,460,0.01,14.976501
6,461,0.01,11.766876
6,462,0.01,13.723206
6,463,0.01,4.662689
6,464,0.01,0.9877014
6,465,0.01,4.355072
6,466,0.01,14.09082
6,467,0.01,3.1651
6,468,0.01,2.7812805
6,469,0.01,2.2753906
6,470,0.01,9.981628
6,471,0.01,3.227478
6,472,0.01,3.0688782
6,473,0.01,2.8553467
6,474,0.01,2.5422058
6,475,0.01,14.535706
6,476,0.01,13.9904785
6,477,0.01,11.944672
6,478,0.01,2.6221619
6,479,0.01,14.906891
6,480,0.01,13.313934
6,481,0.01,14.345917
6,482,0.01,3.7956848
6,483,0.01,3.504547
6,484,0.01,3.5231018
6,485,0.01,13.264313
6,486,0.01,3.6970215
6,487,0.01,0.5708008
6,488,0.01,7.688843
6,489,0.01,3.7374268
6,490,0.01,3.3840027
6,491,0.01,3.5032349
6,492,0.01,3.2693787
6,493,0.01,2.723816
6,494,0.01,1.9093628
6,495,0.01,2.1003723
6,496,0.01,3.4610596
6,497,0.01,14.992981
6,498,0.01,1.4596558
6,499,0.01,3.0050354
6,500,0.01,3.1006165
6,501,0.01,4.891205
6,502,0.01,12.765961
6,503,0.01,0.9781189
6,504,0.01,2.7480469
6,505,0.01,2.568512
6,506,0.01,2.4490662
6,507,0.01,3.4177246
6,508,0.01,3.4499512
6,509,0.01,13.243622
6,510,0.01,3.2451782
6,511,0.01,3.197174
6,512,0.01,3.1521606
6,513,0.01,2.3868103
6,514,3.093628,3.093628
6,517,2.99823,5.209778
6,518,0.01,14.661621
6,533,2.6556396,14.984711
6,534,7.836548,14.522156
6,535,9.979248,14.89798
6,614,4.4444275,14.9999695
6,716,5.590393,14.999298
6,783,7.983307,14.999908
6,904,8.473602,14.999664
6,1043,10.289703,14.999817
7,1,5.525635,14.997559
7,20,5.8457336,14.999023
7,150,9.40155,14.999298
7,349,12.316803,14.996185
8,2334,9.023071,15.0
8,2335,9.023071,15.0
8,2643,5.7917786,14.999878
9,533,12.651703,14.994324
9,674,9.8046875,14.999176
9,715,14.203033,14.990051
9,716,14.203033,14.990051
9,720,9.785858,14.999786
9,831,8.620483,14.998138
9,902,4.7219543,14.99353
9,903,6.9339905,14.983887
9,904,4.7219543,14.99353
9,921,5.9561768,14.996399
9,1042,6.9191284,14.9982605
9,1043,6.5380554,14.991943
9,1180,3.1496887,14.962524
9,1182,4.445221,14.990845
9,1184,4.705078,5.9134827
9,1202,3.4457397,14.997101
9,1205,1.8693848,14.9973755
9,1218,2.387848,2.387848
9,1220,2.3103333,2.9072876
9,1221,4.5061646,4.5061646
9,1222,3.71521,3.71521
9,1223,0.01,2.752777
9,1224,0.01,4.8896484
9,1225,0.01,4.9767456
9,1226,0.01,3.0720825
9,1227,0.01,4.817169
9,1228,0.01,1.7879028
9,1229,0.01,5.698456
9,1230,0.01,5.8155823
9,1231,0.01,3.5105286
9,1232,0.01,1.8460388
9,1233,0.01,11.085754
9,1234,0.01,0.01
9,1235,0.01,4.723114
9,1236,0.01,10.273254
9,1237,0.01,0.01
9,1238,0.01,10.352295
9,1239,0.01,11.32782
9,1240,0.01,4.444641
9,1241,0.01,10.895508
9,1242,0.01,9.911224
9,1243,0.01,2.234497
9,1244,0.01,9.57843
9,1245,0.01,10.308838
9,1246,0.01,3.985443
9,1248,1.075531,14.955109
9,1251,3.5830078,6.1385193
9,1262,1.6216736,14.998718
9,1276,0.37994385,3.0198364
9,1277,0.01,3.2189941
9,1278,0.01,2.7989502
9,1279,0.01,4.305603
9,1280,0.01,4.3666687
9,1281,0.01,4.5060425
9,1282,0.01,4.704193
9,1283,0.01,4.895233
9,1284,0.01,3.6973267
9,1285,0.01,4.7521057
9,1286,0.01,4.331085
9,1287,0.01,4.8673096
9,1288,0.01,6.5328674
9,1289,0.01,7.4653015
9,1290,0.01,4.958496
9,1291,0.01,5.8266296
9,1292,0.01,4.950409
9,1293,0.01,2.9481812
9,1294,0.01,6.612335
9,1295,0.01,7.3146973
9,1296,0.01,7.4794617
9,1297,0.01,7.4396973
9,1298,0.01,7.411682
9,1299,0.01,4.3477173
9,1300,0.01,7.4881897
9,1301,0.01,2.363556
9,1302,0.01,3.9626465
9,1303,0.01,7.5061646
9,1304,0.01,2.1698303
9,1305,0.01,7.492462
9,1306,0.01,6.41687
9,1307,0.01,6.475067
9,1308,0.01,6.502838
9,1309,0.01,5.965637
9,1310,0.01,5.7724915
9,1311,0.01,7.633972
9,1312,0.01,2.9804382
9,1313,0.01,3.0827026
9,1314,0.01,6.0552673
9,1315,0.01,5.8311768
9,1316,0.01,5.2571106
9,1317,0.01,4.855652
9,1318,0.01,4.2966003
9,1319,0.01,7.6292725
9,1320,0.01,4.3789673
9,1321,0.01,4.078125
9,1322,0.01,14.952728
9,1323,0.01,9.565887
9,1324,0.01,3.848999
9,1325,0.01,3.6322937
9,1326,0.01,3.4085083
9,1327,0.01,14.984528
9,1328,0.01,14.994873
9,1329,0.01,3.9413147
9,1330,0.01,6.8022156
9,1331,0.01,5.8117065
9,1332,0.01,6.7985535
9,1333,0.01,6.6265564
9,1334,0.01,7.2134705
9,1335,0.01,3.2963257
9,1336,0.01,7.311432
9,1337,0.01,5.911804
9,1338,0.01,5.460388
9,1339,0.01,3.27182
9,1340,0.01,4.535309
9,1341,0.01,3.2760315
9,1342,0.01,4.151123
9,1343,0.01,4.144409
9,1344,0.01,3.248169
9,1345,0.01,4.227356
9,1346,0.01,6.7837524
9,1347,0.01,1.9088745
9,1348,0.01,3.257141
9,1349,0.01,4.6249084
9,1350,0.01,5.3970947
9,1351,0.01,5.3180237
9,1352,0.01,5.5029297
9,1353,0.01,5.713043
9,1354,0.01,6.20697
9,1355,0.01,4.589569
9,1356,0.01,4.9158325
9,1357,0.01,5.5963745
9,1358,0.01,5.4066772
9,1359,0.01,7.9907227
