FspId,FspX,FspY,SegId,FilledElev,DsDist,StrOrd
225,-60688.2057939356,1799407.9445651,3,337.647003173828,28699.953083036205,3
226,-60698.2057939356,1799407.9445651,3,337.647003173828,28689.953083036205,3
227,-60708.2057939356,1799407.9445651,3,337.503082275391,28679.953083036205,3
228,-60718.2057939356,1799407.9445651,3,337.503082275391,28669.953083036205,3
229,-60728.2057939356,1799417.9445651,3,337.503082275391,28655.810947412476,3
230,-60738.2057939356,1799417.9445651,3,337.503082275391,28645.810947412476,3
231,-60748.2057939356,1799427.9445651,3,337.503082275391,28631.668811788746,3
232,-60758.2057939356,1799437.9445651,3,337.503082275391,28617.526676165013,3
233,-60768.2057939356,1799447.9445651,3,337.503082275391,28603.384540541283,3
234,-60778.2057939356,1799457.9445651,3,337.503082275391,28589.242404917553,3
235,-60788.2057939356,1799467.9445651,3,337.503082275391,28575.10026929382,3
236,-60798.2057939356,1799467.9445651,3,337.503082275391,28565.10026929382,3
237,-60808.2057939356,1799477.9445651,3,337.503082275391,28550.95813367009,3
238,-60818.2057939356,1799477.9445651,3,337.503082275391,28540.95813367009,3
239,-60828.2057939356,1799477.9445651,3,337.503082275391,28530.95813367009,3
240,-60838.2057939356,1799477.9445651,3,337.503082275391,28520.95813367009,3
241,-60848.2057939356,1799477.9445651,3,337.503082275391,28510.95813367009,3
242,-60858.2057939356,1799477.9445651,3,337.503082275391,28500.95813367009,3
243,-60868.2057939356,1799477.9445651,3,337.503082275391,28490.95813367009,3
244,-60878.2057939356,1799467.9445651,3,337.503082275391,28476.81599804636,3
245,-60888.2057939356,1799457.9445651,3,337.503082275391,28462.673862422627,3
246,-60898.2057939356,1799447.9445651,3,337.503082275391,28448.531726798898,3
247,-60898.2057939356,1799437.9445651,3,337.503082275391,28438.531726798898,3
248,-60908.2057939356,1799427.9445651,3,337.503082275391,28424.389591175164,3
249,-60908.2057939356,1799417.9445651,3,337.503082275391,28414.389591175164,3
250,-60908.2057939356,1799407.9445651,3,337.503082275391,28404.389591175164,3
251,-60908.2057939356,1799397.9445651,3,337.503082275391,28394.389591175164,3
252,-60908.2057939356,1799387.9445651,3,337.503082275391,28384.389591175164,3
253,-60908.2057939356,1799377.9445651,3,337.503082275391,28374.389591175164,3
254,-60908.2057939356,1799367.9445651,3,337.503082275391,28364.389591175164,3
255,-60898.2057939356,1799357.9445651,3,337.503082275391,28350.247455551435,3
256,-60898.2057939356,1799347.9445651,3,337.503082275391,28340.247455551435,3
257,-60898.2057939356,1799337.9445651,3,337.503082275391,28330.247455551435,3
258,-60888.2057939356,1799327.9445651,3,337.503082275391,28316.105319927705,3
259,-60878.2057939356,1799317.9445651,3,337.503082275391,28301.96318430397,3
260,-60868.2057939356,1799307.9445651,3,337.503082275391,28287.82104868024,3
261,-60858.2057939356,1799297.9445651,3,337.503082275391,28273.67891305651,3
262,-60848.2057939356,1799297.9445651,3,337.503082275391,28263.67891305651,3
263,-60838.2057939356,1799287.9445651,3,337.503082275391,28249.53677743278,3
264,-60828.2057939356,1799277.9445651,3,337.503082275391,28235.39464180905,3
265,-60818.2057939356,1799267.9445651,3,337.503082275391,28221.252506185316,3
266,-60808.2057939356,1799267.9445651,3,337.503082275391,28211.252506185316,3
267,-60798.2057939356,1799257.9445651,3,337.503082275391,28197.110370561586,3
268,-60788.2057939356,1799247.9445651,3,337.503082275391,28182.968234937856,3
269,-60778.2057939356,1799237.9445651,3,337.503082275391,28168.826099314123,3
270,-60768.2057939356,1799237.9445651,3,337.503082275391,28158.826099314123,3
271,-60758.2057939356,1799237.9445651,3,337.503082275391,28148.826099314123,3
272,-60748.2057939356,1799227.9445651,3,337.503082275391,28134.683963690393,3
273,-60738.2057939356,1799227.9445651,3,337.503082275391,28124.683963690393,3
274,-60728.2057939356,1799227.9445651,3,337.335693359375,28114.683963690393,3
275,-60718.2057939356,1799227.9445651,3,336.924011230469,28104.683963690393,3
276,-60708.2057939356,1799227.9445651,3,336.479675292969,28094.683963690393,3
277,-60698.2057939356,1799227.9445651,3,336.405975341797,28084.683963690393,3
278,-60688.2057939356,1799227.9445651,3,336.405975341797,28074.683963690393,3
279,-60678.2057939356,1799227.9445651,3,336.405975341797,28064.683963690393,3
280,-60668.2057939356,1799227.9445651,3,336.405975341797,28054.683963690393,3
281,-60658.2057939356,1799227.9445651,3,336.405975341797,28044.683963690393,3
282,-60648.2057939356,1799227.9445651,3,336.405975341797,28034.683963690393,3
283,-60638.2057939356,1799217.9445651,3,336.405975341797,28020.541828066664,3
284,-60628.2057939356,1799207.9445651,3,336.405975341797,28006.39969244293,3
285,-60618.2057939356,1799197.9445651,3,336.405975341797,27992.2575568192,3
286,-60608.2057939356,1799187.9445651,3,336.405975341797,27978.11542119547,3
287,-60598.2057939356,1799187.9445651,3,336.405975341797,27968.11542119547,3
288,-60588.2057939356,1799177.9445651,3,336.403594970703,27953.973285571738,3
289,-60578.2057939356,1799177.9445651,3,336.129638671875,27943.973285571738,3
290,-60568.2057939356,1799177.9445651,3,336.129638671875,27933.973285571738,3
291,-60558.2057939356,1799177.9445651,3,336.129638671875,27923.973285571738,3
292,-60548.2057939356,1799167.9445651,3,336.129638671875,27909.831149948008,3
293,-60538.2057939356,1799167.9445651,3,336.129638671875,27899.831149948008,3
294,-60528.2057939356,1799157.9445651,3,336.129638671875,27885.689014324278,3
295,-60518.2057939356,1799157.9445651,3,336.129638671875,27875.689014324278,3
296,-60508.2057939356,1799157.9445651,3,336.129638671875,27865.689014324278,3
297,-60498.2057939356,1799157.9445651,3,336.129638671875,27855.689014324278,3
298,-60488.2057939356,1799147.9445651,3,336.129638671875,27841.546878700545,3
299,-60478.2057939356,1799147.9445651,3,336.129638671875,27831.546878700545,3
300,-60468.2057939356,1799147.9445651,3,336.129638671875,27821.546878700545,3
301,-60458.2057939356,1799137.9445651,3,336.129638671875,27807.404743076815,3
302,-60448.2057939356,1799127.9445651,3,336.129638671875,27793.262607453085,3
303,-60438.2057939356,1799117.9445651,3,336.129638671875,27779.120471829352,3
304,-60428.2057939356,1799107.9445651,3,336.129638671875,27764.978336205622,3
305,-60418.2057939356,1799097.9445651,3,336.129638671875,27750.836200581893,3
306,-60408.2057939356,1799097.9445651,3,336.03515625,27740.836200581893,3
307,-60398.2057939356,1799087.9445651,3,336.03515625,27726.69406495816,3
308,-60388.2057939356,1799087.9445651,3,335.765777587891,27716.69406495816,3
309,-60378.2057939356,1799077.9445651,3,335.765777587891,27702.55192933443,3
