FspId,FspX,FspY,SegId,FilledElev
1437,-54368.2057939356,1795427.9445651,10,316.568634033203
1438,-54358.2057939356,1795427.9445651,10,316.568634033203
1439,-54348.2057939356,1795427.9445651,10,316.568634033203
1440,-54338.2057939356,1795427.9445651,10,316.568634033203
1441,-54328.2057939356,1795427.9445651,10,316.568634033203
1442,-54318.2057939356,1795427.9445651,10,316.568634033203
1443,-54308.2057939356,1795427.9445651,10,316.568634033203
1444,-54298.2057939356,1795437.9445651,10,316.568634033203
1445,-54288.2057939356,1795437.9445651,10,316.568634033203
1446,-54278.2057939356,1795437.9445651,10,316.543487548828
1447,-54268.2057939356,1795437.9445651,10,316.543487548828
1448,-54258.2057939356,1795437.9445651,10,316.543487548828
1449,-54248.2057939356,1795447.9445651,10,316.543487548828
1450,-54238.2057939356,1795447.9445651,10,316.543487548828
1451,-54228.2057939356,1795447.9445651,10,316.543487548828
1452,-54218.2057939356,1795447.9445651,10,316.543487548828
1453,-54208.2057939356,1795447.9445651,10,316.543487548828
1454,-54198.2057939356,1795447.9445651,10,316.543487548828
1455,-54188.2057939356,1795447.9445651,10,316.543487548828
1456,-54178.2057939356,1795447.9445651,10,316.543487548828
1457,-54168.2057939356,1795457.9445651,10,316.5234375
1458,-54158.2057939356,1795457.9445651,10,316.5234375
1459,-54148.2057939356,1795457.9445651,10,316.5234375
1460,-54138.2057939356,1795457.9445651,10,316.5234375
1461,-54128.2057939356,1795457.9445651,10,316.5234375
1462,-54118.2057939356,1795457.9445651,10,316.5234375
1463,-54108.2057939356,1795457.9445651,10,316.5234375
1464,-54098.2057939356,1795467.9445651,10,316.5234375
1465,-54088.2057939356,1795477.9445651,10,316.5234375
1466,-54078.2057939356,1795477.9445651,10,316.5234375
1467,-54068.2057939356,1795477.9445651,10,316.5234375
1468,-54058.2057939356,1795487.9445651,10,316.5234375
1469,-54048.2057939356,1795487.9445651,10,316.5234375
1470,-54038.2057939356,1795487.9445651,10,316.5234375
1471,-54028.2057939356,1795487.9445651,10,316.5234375
1472,-54018.2057939356,1795487.9445651,10,316.5234375
1473,-54008.2057939356,1795487.9445651,10,316.5234375
1474,-53998.2057939356,1795497.9445651,10,316.5234375
1475,-53988.2057939356,1795487.9445651,10,316.5234375
1476,-53978.2057939356,1795487.9445651,10,316.5234375
1477,-53968.2057939356,1795487.9445651,10,316.5234375
1478,-53958.2057939356,1795477.9445651,10,316.487274169922
1479,-53948.2057939356,1795477.9445651,10,316.487274169922
1480,-53938.2057939356,1795477.9445651,10,316.487274169922
1481,-53928.2057939356,1795477.9445651,10,316.487274169922
1482,-53918.2057939356,1795487.9445651,10,316.487274169922
1483,-53908.2057939356,1795477.9445651,10,316.426391601562
1484,-53898.2057939356,1795477.9445651,10,316.426391601562
1485,-53888.2057939356,1795467.9445651,10,316.421478271484
1486,-53878.2057939356,1795457.9445651,10,316.41943359375
1487,-53868.2057939356,1795447.9445651,10,316.41943359375
1488,-53858.2057939356,1795447.9445651,10,316.41943359375
1489,-53848.2057939356,1795447.9445651,10,316.41943359375
1490,-53838.2057939356,1795447.9445651,10,316.41943359375
1491,-53828.2057939356,1795447.9445651,10,316.41943359375
1492,-53818.2057939356,1795447.9445651,10,316.41943359375
1493,-53808.2057939356,1795447.9445651,10,316.41943359375
1494,-53798.2057939356,1795447.9445651,10,316.41943359375
1495,-53788.2057939356,1795447.9445651,10,316.41943359375
1496,-53778.2057939356,1795447.9445651,10,316.41943359375
